ID , size, flexibility, selection, target, success, time, ,,
154,8,1,5,5,1,2.070425,,,
154,8,1,3,3,1,1.211404,,,
154,8,1,8,1,0,0.9007054,,,
154,8,1,7,7,1,0.9469606,,,
154,8,1,2,2,1,0.8057941,,,
154,8,1,7,8,0,0.7497948,,,
154,8,1,6,6,1,1.289773,,,
154,8,1,4,4,1,0.9538316,,,
154,8,1,4,4,1,1.41513,,,
154,8,1,3,3,1,0.8339794,,,
154,8,1,1,1,1,0.71434,,,
154,8,1,7,8,0,0.6028052,,,
154,8,1,6,6,1,1.410953,,,
154,8,1,2,2,1,0.7469823,,,
154,8,1,7,7,1,0.6626015,,,
154,8,1,4,5,0,0.8194578,,,
154,8,1,4,4,1,0.910009,,,
154,8,1,1,1,1,0.6696787,,,
154,8,1,6,6,1,0.8892136,,,
154,8,1,4,5,0,0.8407038,,,
154,8,1,6,7,0,0.6285712,,,
154,8,1,3,3,1,0.9461609,,,
154,8,1,1,2,0,0.6175307,,,
154,8,1,8,8,1,0.5961387,,,
154,8,1,4,5,0,0.788947,,,
154,8,1,2,3,0,0.6344551,,,
154,8,1,8,8,1,0.6198637,,,
154,8,1,1,2,0,0.6320055,,,
154,8,1,5,6,0,0.7205532,,,
154,8,1,3,4,0,0.7535237,,,
154,8,1,6,7,0,0.5957068,,,
154,8,1,8,1,0,0.5783225,,,
154,8,1,4,4,1,0.6830331,,,
154,8,1,6,6,1,0.6621854,,,
154,8,1,8,8,1,0.5277764,,,
154,8,1,6,7,0,0.6001304,,,
154,8,1,1,1,1,0.5722316,,,
154,8,1,4,5,0,0.6451393,,,
154,8,1,3,3,1,0.6637363,,,
154,8,1,1,2,0,0.5268765,,,
154,12,1,5,6,0,1.265613,,,
154,12,1,3,4,0,0.752692,,,
154,12,1,9,9,1,1.359591,,,
154,12,1,1,2,0,0.6310716,,,
154,12,1,9,10,0,0.7819141,,,
154,12,1,10,11,0,0.701928,,,
154,12,1,5,7,0,0.6964886,,,
154,12,1,7,8,0,0.5979426,,,
154,12,1,12,12,1,0.7403386,,,
154,12,1,12,1,0,0.6985342,,,
154,12,1,12,5,0,0.4789459,,,
154,12,1,12,3,0,0.5026948,,,
154,12,1,3,4,0,0.6314494,,,
154,12,1,6,7,0,0.8998148,,,
154,12,1,1,2,0,0.6987001,,,
154,12,1,11,12,0,0.6574848,,,
154,12,1,12,1,0,0.51295,,,
154,12,1,7,8,0,0.6454297,,,
154,12,1,4,5,0,0.6141024,,,
154,12,1,6,6,1,0.5613244,,,
154,12,1,10,11,0,0.5723509,,,
154,12,1,8,9,0,0.6288157,,,
154,12,1,10,10,1,0.5621094,,,
154,12,1,2,3,0,0.6141965,,,
154,12,1,10,10,1,0.5780588,,,
154,12,1,12,1,0,0.5319185,,,
154,12,1,5,6,0,0.6455023,,,
154,12,1,1,2,0,0.7018006,,,
154,12,1,6,7,0,0.7169112,,,
154,12,1,10,11,0,0.5999396,,,
154,12,1,3,4,0,0.683635,,,
154,12,1,2,3,0,0.6189356,,,
154,12,1,9,9,1,0.634719,,,
154,12,1,12,12,1,0.5652591,,,
154,12,1,8,8,1,0.6112894,,,
154,12,1,4,5,0,0.6169758,,,
154,12,1,11,12,0,0.5501808,,,
154,12,1,12,5,0,0.4456756,,,
154,12,1,3,4,0,0.4079524,,,
154,12,1,11,11,1,0.5668638,,,
154,12,1,9,8,0,0.5114335,,,
154,12,1,2,3,0,0.6301262,,,
154,12,1,1,2,0,0.6801973,,,
154,12,1,10,10,1,0.6797331,,,
154,12,1,1,1,1,0.7029347,,,
154,12,1,6,7,0,0.7343346,,,
154,12,1,5,6,0,0.7747843,,,
154,12,1,9,9,1,0.7132372,,,
154,12,1,6,7,0,0.3736498,,,
154,12,1,2,2,1,0.6582537,,,
154,12,1,5,6,0,0.6119155,,,
154,12,1,3,4,0,0.6287972,,,
154,12,1,3,3,1,0.6457902,,,
154,12,1,12,1,0,0.5848242,,,
154,12,1,9,10,0,0.6353349,,,
154,12,1,10,11,0,0.5313999,,,
154,12,1,9,9,1,0.9570508,,,
154,12,1,5,5,1,1.212524,,,
154,12,1,8,8,1,0.7830871,,,
154,12,1,12,12,1,0.8280033,,,
154,4,1,4,1,0,0.5489358,,,
154,4,1,3,3,1,0.6682953,,,
154,4,1,4,4,1,0.649987,,,
154,4,1,2,2,1,1.008236,,,
154,4,1,2,2,1,0.6033186,,,
154,4,1,3,3,1,0.6526384,,,
154,4,1,1,1,1,0.5161875,,,
154,4,1,4,4,1,0.5265121,,,
154,4,1,3,3,1,0.5610719,,,
154,4,1,1,1,1,0.5658069,,,
154,4,1,2,2,1,0.577455,,,
154,4,1,4,4,1,0.5216764,,,
154,4,1,2,2,1,0.5651014,,,
154,4,1,4,1,0,0.5145811,,,
154,4,1,4,4,1,0.6193191,,,
154,4,1,3,3,1,0.5400508,,,
154,4,1,3,3,1,0.6667246,,,
154,4,1,4,4,1,0.4965662,,,
154,4,1,2,2,1,0.6478988,,,
154,4,1,1,1,1,0.5625535,,,
154,4,1,2,2,1,0.5811141,,,
154,4,1,3,3,1,0.6492023,,,
154,4,1,4,1,0,0.3569572,,,
154,4,1,4,4,1,0.663036,,,
154,4,1,1,1,1,0.3404121,,,
154,4,1,3,3,1,0.4847094,,,
154,4,1,4,4,1,0.5273455,,,
154,4,1,2,2,1,0.4075831,,,
154,4,1,3,3,1,0.6148009,,,
154,4,1,4,4,1,0.5960333,,,
154,4,1,1,1,1,0.4939601,,,
154,4,1,2,2,1,0.5116268,,,
ID , flexibility, size, round, selection, target, success, time, ,
154,1,4,3,3,1,1.042172,,,
154,1,4,4,4,1,0.4761325,,,
154,1,4,4,1,0,0.6878505,,,
154,1,4,1,2,0,0.7425734,,,
154,1,4,4,1,0,0.5300105,,,
154,1,4,4,2,0,0.175396,,,
154,1,4,2,4,0,0.9193893,,,
154,1,4,3,3,1,0.5729843,,,
154,1,4,4,2,0,0.4307633,,,
154,1,4,1,1,1,0.6002006,,,
154,1,4,4,4,1,0.7945908,,,
154,1,4,2,3,0,0.7505289,,,
ID , flexibility, size, round, selection, target, success, time, ,
ID , flexibility, size, round, selection, target, success, time, ,
154,1,4,1,3,0,0.2855614,,,
154,1,4,1,1,1,1.030939,,,
154,1,4,4,4,1,0.8391752,,,
154,1,4,3,2,0,0.6624144,,,
154,1,4,1,1,1,0.9680976,,,
154,1,4,1,3,0,0.244124,,,
154,1,4,2,2,1,0.5484936,,,
154,1,4,4,4,1,0.8287495,,,
154,1,4,2,2,1,0.9846494,,,
154,1,4,3,3,1,0.7135935,,,
154,1,4,1,1,1,0.6575414,,,
154,1,4,4,4,1,0.6554278,,,
154,1,4,1,1,1,0.7186231,,,
154,1,4,3,3,1,0.7069898,,,
154,1,4,2,2,1,0.8817113,,,
154,1,4,4,4,1,0.6445145,,,
154,1,4,3,3,1,0.6874534,,,
154,1,4,1,1,1,1.207544,,,
154,1,4,2,2,1,0.8934536,,,
154,1,4,4,4,1,0.5377434,,,
154,1,12,7,7,1,1.891672,,,
154,1,12,5,5,1,1.390991,,,
154,1,12,4,4,1,1.06672,,,
154,1,12,10,10,1,1.012332,,,
154,1,12,12,1,0,1.229609,,,
154,1,12,9,9,1,1.800246,,,
154,1,12,4,3,0,0.6572157,,,
154,1,12,1,12,0,1.138607,,,
154,1,12,11,11,1,1.014515,,,
154,1,12,6,6,1,1.204105,,,
154,1,12,8,8,1,0.8767865,,,
154,1,12,3,2,0,0.7286436,,,
154,1,12,9,9,1,0.6366153,,,
154,1,12,10,10,1,0.6338497,,,
154,1,12,11,11,1,0.7143145,,,
154,1,12,8,8,1,1.021625,,,
154,1,12,2,2,1,0.6578386,,,
154,1,12,2,3,0,0.6335168,,,
154,1,12,7,7,1,0.723642,,,
154,1,12,12,1,0,0.644106,,,
154,1,12,6,6,1,0.7031102,,,
154,1,12,4,4,1,0.7409797,,,
154,1,12,11,12,0,0.6779199,,,
154,1,12,5,5,1,0.6785266,,,
154,1,8,3,3,1,0.6614154,,,
154,1,8,8,2,0,0.6483858,,,
154,1,8,6,7,0,0.7991534,,,
154,1,8,1,1,1,0.7246913,,,
154,1,8,3,4,0,0.6323331,,,
154,1,8,6,6,1,0.6728054,,,
154,1,8,3,3,1,0.7005541,,,
154,1,8,8,8,1,0.5332782,,,
154,1,8,5,5,1,0.610898,,,
154,1,8,6,8,0,0.5747013,,,
154,1,8,7,3,0,0.4169821,,,
154,1,8,8,6,0,0.5242448,,,
154,1,8,5,1,0,0.4453346,,,
154,1,8,5,5,1,0.7911577,,,
154,1,8,3,4,0,0.7918278,,,
154,1,8,1,7,0,0.9972349,,,
154,1,8,1,2,0,0.4659187,,,
154,1,8,5,5,1,0.7424001,,,
154,1,8,4,2,0,0.4846606,,,
154,1,8,4,1,0,0.3478615,,,
154,1,8,4,6,0,0.1865652,,,
154,1,8,4,7,0,0.250422,,,
154,1,8,4,3,0,0.1986872,,,
154,1,8,4,4,1,0.2716249,,,
154,1,8,5,8,0,0.5369618,,,
154,1,8,5,2,0,0.6613159,,,
ID , flexibility, size, round, selection, target, success, time, ,
ID , flexibility, size, round, selection, target, success, time, ,
154,1,8,1,1,1,0.0204382,,,
154,1,8,1,8,0,0.0184182,,,
154,1,8,1,4,0,0.0412021,,,
154,1,8,1,7,0,0.5800824,,,
154,1,8,1,6,0,0.4002673,,,
154,1,8,6,6,1,3.768877,,,
154,1,8,2,3,0,1.367922,,,
ID , flexibility, size, round, selection, target, success, time, ,
ID , flexibility, size, round, selection, target, success, time, ,
154,1,12,7,7,1,2.344778,,,
154,1,12,11,6,0,0.3321369,,,
154,1,12,4,4,1,1.436305,,,
154,1,12,2,3,0,0.841516,,,
154,1,12,5,5,1,1.20417,,,
154,1,12,11,11,1,1.062359,,,
154,1,12,8,8,1,1.324095,,,
154,1,12,10,10,1,0.8781316,,,
154,1,12,9,9,1,0.6798216,,,
154,1,12,1,1,1,0.9945824,,,
154,1,12,12,12,1,0.7251194,,,
154,1,12,2,2,1,0.6856238,,,
154,1,12,4,4,1,2.912456,,,
154,1,12,10,10,1,0.8814652,,,
ID , flexibility, size, round, selection, target, success, time, ,
154,1,4,2,2,1,1.094781,,,
154,1,4,1,1,1,0.8928031,,,
154,1,4,3,3,1,0.7480642,,,
154,1,4,4,4,1,0.6767572,,,
154,1,4,1,1,1,0.9192597,,,
154,1,4,4,2,0,0.4553329,,,
154,1,4,4,4,1,0.5989338,,,
154,1,4,3,3,1,0.5450801,,,
154,1,8,4,5,0,0.848127,,,
154,1,8,2,2,1,0.9310706,,,
154,1,8,7,7,1,0.5925399,,,
154,1,8,4,4,1,0.7200626,,,
154,1,8,1,1,1,0.6991793,,,
154,1,8,6,6,1,0.6207754,,,
154,1,8,3,3,1,0.7431051,,,
154,1,8,8,8,1,0.6244212,,,
154,1,8,7,7,1,0.738514,,,
154,1,8,8,8,1,0.6170272,,,
154,1,8,5,6,0,0.7393519,,,
154,1,8,4,5,0,1.03526,,,
154,1,8,7,1,0,0.6806045,,,
154,1,8,2,2,1,0.6643885,,,
154,1,8,3,3,1,0.9457694,,,
154,1,8,4,4,1,0.7021698,,,
154,1,12,5,5,1,0.7276531,,,
154,1,12,2,3,0,1.1332,,,
154,1,12,7,7,1,0.783365,,,
154,1,12,4,4,1,0.943673,,,
154,1,12,1,2,0,0.800522,,,
154,1,12,8,8,1,0.7938532,,,
154,1,12,11,11,1,1.35054,,,
154,1,12,1,1,1,1.261556,,,
154,1,12,10,10,1,0.8035612,,,
154,1,12,6,6,1,1.134466,,,
154,1,12,9,9,1,0.6714519,,,
154,1,12,12,12,1,0.5365537,,,
ID , flexibility, size, round, selection, target, success, time, ,
154,1,12,1,12,12,1,0.8134126,,
154,1,12,1,9,9,1,1.909786,,
154,1,12,1,10,10,1,1.034199,,
154,1,12,1,8,8,1,0.9304436,,
154,1,12,1,2,2,1,1.141354,,
154,1,12,1,7,7,1,6.291596,,
154,1,12,1,5,5,1,1.041088,,
154,1,12,1,3,3,1,0.845724,,
154,1,12,1,6,6,1,0.9551178,,
154,1,12,1,11,11,1,1.039774,,
154,1,12,1,1,1,1,1.011004,,
154,1,12,1,4,4,1,1.992648,,
154,1,12,2,10,10,1,0.9825779,,
154,1,12,2,5,5,1,1.436141,,
154,1,12,2,1,2,0,1.070828,,
154,1,12,2,2,4,0,1.401017,,
154,1,12,2,7,7,1,1.586509,,
154,1,12,2,4,3,0,0.857528,,
154,1,12,2,8,11,0,1.546523,,
154,1,12,2,10,9,0,1.092581,,
154,1,12,2,9,8,0,0.9204469,,
154,1,12,2,6,6,1,1.766565,,
154,1,12,2,7,1,0,0.0169503,,
154,1,12,2,12,12,1,1.067551,,
ID , flexibility, size, round, selection, target, success, time, ,
154,1,12,2,3,4,0,0.9819854,,
154,1,12,2,2,2,1,0.9049919,,
ID , flexibility, size, round, selection, target, success, time, ,
154,1,4,1,4,2,0,0.9307238,,
154,1,4,1,4,3,0,0.593147,,
154,1,4,1,1,1,1,0.690299,,
154,1,4,1,4,4,1,0.9812278,,
154,1,4,2,4,4,1,0.9115719,,
154,1,4,2,3,3,1,0.7839089,,
154,1,4,2,1,1,1,0.7717839,,
154,1,4,2,2,2,1,0.6086041,,
154,1,8,3,4,4,1,0.6203035,,
154,1,8,3,7,7,1,0.5798041,,
154,1,8,3,8,8,1,0.7361509,,
154,1,8,3,8,1,0,0.4855107,,
154,1,8,3,1,3,0,0.4992183,,
154,1,8,3,2,2,1,0.6569334,,
154,1,8,3,6,6,1,0.7674759,,
154,1,8,3,5,5,1,0.7388229,,
154,1,8,4,3,3,1,0.609583,,
154,1,8,4,8,8,1,0.5532427,,
154,1,8,4,6,6,1,0.6090984,,
154,1,8,4,4,4,1,0.6656808,,
154,1,8,4,1,1,1,0.655083,,
154,1,8,4,7,7,1,0.1112903,,
154,1,8,4,2,2,1,0.6884753,,
154,1,8,4,5,5,1,0.6896797,,
ID , flexibility, size, round, selection, target, success, time, ,
ID , flexibility, size, round, selection, target, success, time, ,
ID , flexibility, size, round, selection, target, success, time, ,
154,1,4,1,3,2,0,0.0169506,,
154,1,4,1,3,4,0,0.0169448,,
154,1,4,1,4,1,0,0.0169536,,
154,1,4,1,4,3,0,0.0169487,,
ID , flexibility, size, round, selection, target, success, time, ,
154,1,4,1,1,1,1,1.859958,,
154,1,4,1,2,2,1,0.6496612,,
154,1,4,1,4,4,1,0.6794155,,
154,1,4,1,3,3,1,0.8884599,,
ID , flexibility, size, round, selection, target, success, time, ,
154,1,12,1,8,8,1,1.040826,,
154,1,12,1,11,11,1,0.9671413,,
154,1,12,1,5,5,1,0.620202,,
154,1,12,1,1,12,0,0.923002,,
154,1,12,1,4,3,0,0.6040968,,
154,1,12,1,6,6,1,0.8235218,,
154,1,12,1,2,2,1,0.715707,,
154,1,12,1,7,7,1,0.6266459,,
154,1,12,1,4,4,1,0.6072636,,
154,1,12,1,10,10,1,0.591585,,
154,1,12,1,9,9,1,0.5508097,,
