date/time, ID , flexibility, sensitivity, size, round, count, selection, target, success, time, 
August 30, 2019-9:00:47 AM,3, 3,10,8,1,1,6, 6, 1, 0.8810777
August 30, 2019-9:00:48 AM,3, 3,10,8,1,2,4, 5, 0, 0.9764743
August 30, 2019-9:00:49 AM,3, 3,10,8,1,3,8, 8, 1, 0.7602817
August 30, 2019-9:00:51 AM,3, 3,10,8,1,4,6, 7, 0, 0.7449822
August 30, 2019-9:00:53 AM,3, 3,10,8,1,5,2, 3, 0, 2.205554
August 30, 2019-9:00:55 AM,3, 3,10,8,1,6,2, 2, 1, 0.6183711
August 30, 2019-9:00:57 AM,3, 3,10,8,1,7,1, 4, 0, 1.316853
August 30, 2019-9:01:03 AM,3, 3,10,8,1,8,1, 1, 1, 4.954922
August 30, 2019-9:01:07 AM,3, 3,10,8,2,9,2, 2, 1, 1.157108
August 30, 2019-9:01:08 AM,3, 3,10,8,2,10,1, 8, 0, 0.9147766
August 30, 2019-9:01:10 AM,3, 3,10,8,2,11,1, 1, 1, 1.003039
August 30, 2019-9:01:11 AM,3, 3,10,8,2,12,6, 6, 1, 0.6843296
August 30, 2019-9:01:12 AM,3, 3,10,8,2,13,3, 3, 1, 0.8500515
August 30, 2019-9:01:17 AM,3, 3,10,8,2,14,4, 4, 1, 1.943467
August 30, 2019-9:01:19 AM,3, 3,10,8,2,15,5, 5, 1, 1.258793
August 30, 2019-9:01:20 AM,3, 3,10,8,2,16,7, 7, 1, 0.7892457
date/time, ID , flexibility, sensitivity, size, round, count, selection, target, success, time, 
August 30, 20199:03:04 AM,3, 3,10,8,1,1,4, 4, 1, 1.191048
August 30, 20199:03:06 AM,3, 3,10,8,1,2,1, 1, 1, 1.2371
August 30, 20199:03:07 AM,3, 3,10,8,1,3,5, 5, 1, 1.130262
August 30, 20199:03:09 AM,3, 3,10,8,1,4,1, 8, 0, 1.075935
August 30, 20199:03:14 AM,3, 3,10,8,1,5,6, 6, 1, 1.054594
August 30, 20199:03:15 AM,3, 3,10,8,1,6,3, 3, 1, 1.087542
August 30, 20199:03:17 AM,3, 3,10,8,1,7,2, 2, 1, 1.107689
August 30, 20199:03:18 AM,3, 3,10,8,1,8,7, 7, 1, 0.7424276
August 30, 20199:03:22 AM,3, 3,10,8,2,9,2, 2, 1, 0.9116221
August 30, 20199:03:23 AM,3, 3,10,8,2,10,1, 1, 1, 0.7708632
August 30, 20199:03:24 AM,3, 3,10,8,2,11,3, 3, 1, 0.9343258
August 30, 20199:03:25 AM,3, 3,10,8,2,12,4, 4, 1, 0.939109
August 30, 20199:03:26 AM,3, 3,10,8,2,13,4, 5, 0, 0.0344839
August 30, 20199:03:28 AM,3, 3,10,12,3,14,12, 4, 0, 0.0330932
August 30, 20199:03:31 AM,3, 3,10,12,3,15,8, 8, 1, 1.597684
August 30, 20199:03:32 AM,3, 3,10,12,3,16,2, 2, 1, 0.8722779
August 30, 20199:03:34 AM,3, 3,10,12,3,17,12, 12, 1, 1.090004
August 30, 20199:03:35 AM,3, 3,10,12,3,18,10, 10, 1, 0.7684249
August 30, 20199:03:36 AM,3, 3,10,12,3,19,11, 11, 1, 1.048815
August 30, 20199:03:40 AM,3, 3,10,12,3,20,10, 1, 0, 2.9607
August 30, 20199:03:45 AM,3, 3,10,12,3,21,7, 6, 0, 3.977491
August 30, 20199:03:47 AM,3, 3,10,12,3,22,3, 3, 1, 1.41868
August 30, 20199:03:50 AM,3, 3,10,12,3,23,9, 9, 1, 2.253723
