date, time, ID , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
30-Aug,2019,9:13:46 AM,3,4,5,12,1,1,2,2,1,2.284121
30-Aug,2019,9:13:48 AM,3,4,5,12,1,2,1,1,1,1.459324
30-Aug,2019,9:13:53 AM,3,4,5,12,1,3,6,6,1,5.098064
30-Aug,2019,9:13:54 AM,3,4,5,12,1,4,6,5,0,0.0616404
30-Aug,2019,9:13:55 AM,3,4,5,12,1,5,12,10,0,0.0194626
30-Aug,2019,9:13:59 AM,3,4,5,12,1,6,4,4,1,2.735807
30-Aug,2019,9:14:01 AM,3,4,5,12,1,7,3,3,1,1.622816
date, time, ID , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
30-Aug,2019,9:14:38 AM,3,4,5,8,1,1,1,2,0,7.756625
30-Aug,2019,9:14:40 AM,3,4,5,8,1,2,5,5,1,1.270363
30-Aug,2019,9:14:44 AM,3,4,5,8,1,3,2,3,0,3.204013
30-Aug,2019,9:14:46 AM,3,4,5,8,1,4,7,8,0,1.863469
30-Aug,2019,9:14:49 AM,3,4,5,8,1,5,3,4,0,1.252536
30-Aug,2019,9:14:49 AM,3,4,5,8,1,6,4,7,0,0.0331193
30-Aug,2019,9:14:54 AM,3,4,5,8,1,7,6,6,1,4.022245
30-Aug,2019,9:14:55 AM,3,4,5,8,1,8,6,1,0,0.031381
date, time, ID , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
30-Aug,2019,9:16:03 AM,3,4,5,12,1,1,1,1,1,1.844234
30-Aug,2019,9:16:06 AM,3,4,5,12,1,2,10,10,1,2.001233
30-Aug,2019,9:16:07 AM,3,4,5,12,1,3,10,9,0,0.0201589
30-Aug,2019,9:16:08 AM,3,4,5,12,1,4,5,3,0,0.0416801
date, time, ID , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
30-Aug,2019,9:16:31 AM,3,4,5,8,1,1,6,6,1,4.301015
30-Aug,2019,9:16:34 AM,3,4,5,8,1,2,2,2,1,1.92577
30-Aug,2019,9:16:35 AM,3,4,5,8,1,3,6,1,0,0.3397703
30-Aug,2019,9:16:36 AM,3,4,5,8,1,4,6,3,0,0.033559
30-Aug,2019,9:16:40 AM,3,4,5,8,1,5,7,7,1,3.068053
date, time, ID , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
30-Aug,2019,9:16:56 AM,3,4,8,4,1,1,1,1,1,0.9439642
30-Aug,2019,9:16:58 AM,3,4,8,4,1,2,2,2,1,0.8801129
30-Aug,2019,9:16:58 AM,3,4,8,4,1,3,2,3,0,0.0232571
30-Aug,2019,9:17:00 AM,3,4,8,4,1,4,4,4,1,0.0197782
30-Aug,2019,9:17:02 AM,3,4,8,4,2,5,3,3,1,0.7111997
30-Aug,2019,9:17:04 AM,3,4,8,4,2,6,1,1,1,0.8204592
30-Aug,2019,9:17:05 AM,3,4,8,4,2,7,4,4,1,0.8637641
30-Aug,2019,9:17:06 AM,3,4,8,4,2,8,2,2,1,0.7427896
30-Aug,2019,9:17:10 AM,3,4,8,8,3,9,5,5,1,2.341245
30-Aug,2019,9:17:13 AM,3,4,8,8,3,10,7,7,1,0.6388102
30-Aug,2019,9:17:14 AM,3,4,8,8,3,11,1,1,1,0.9244765
30-Aug,2019,9:17:25 AM,3,4,12,8,3,12,2,8,0,0.2587613
30-Aug,2019,9:17:27 AM,3,4,12,8,3,13,2,2,1,1.873578
30-Aug,2019,9:17:29 AM,3,4,12,8,3,14,3,3,1,0.8397082
30-Aug,2019,9:17:30 AM,3,4,12,8,3,15,6,6,1,0.7083461
30-Aug,2019,9:17:33 AM,3,4,12,8,3,16,4,4,1,2.933078
30-Aug,2019,9:17:56 AM,3,4,12,8,4,17,7,8,0,0.8139008
30-Aug,2019,9:17:57 AM,3,4,12,8,4,18,4,5,0,0.6337601
30-Aug,2019,9:18:00 AM,3,4,12,8,4,19,6,6,1,0.8291013
30-Aug,2019,9:18:02 AM,3,4,12,8,4,20,1,1,1,1.005086
30-Aug,2019,9:18:03 AM,3,4,12,8,4,21,2,2,1,0.8019993
30-Aug,2019,9:18:04 AM,3,4,12,8,4,22,3,4,0,0.7681789
date, time, ID , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
30-Aug,2019,9:19:43 AM,3,4,8,12,1,1,9,2,0,1.003887
30-Aug,2019,9:19:49 AM,3,4,8,12,1,2,8,8,1,1.317959
