date, time, id , flexibility, sensitivity, size, item, round, count, selection, target, success, timeTaken, ,,,
2019-10-10,1:42:02 PM,1,3,12,12,1,1,1,2,2,1,1.964906,,,,
2019-10-10,1:42:04 PM,1,3,12,12,2,1,2,10,10,1,1.335593,,,,
2019-10-10,1:42:06 PM,1,3,12,12,3,1,3,6,6,1,1.090542,,,,
2019-10-10,1:42:07 PM,1,3,12,12,4,1,4,12,12,1,0.966933,,,,
2019-10-10,1:42:09 PM,1,3,12,12,5,1,5,9,8,0,1.032425,,,,
2019-10-10,1:42:11 PM,1,3,12,12,6,1,6,5,5,1,1.228576,,,, 
2019-10-10,1:42:12 PM,1,3,12,12,7,1,7,11,11,1,1.112859,,,,
2019-10-10,1:42:15 PM,1,3,12,12,8,1,8,4,4,1,1.277445,,,,
2019-10-10,1:42:16 PM,1,3,12,12,9,1,9,4,3,0,0.8293476,,,,
2019-10-10,1:42:19 PM,1,3,12,12,10,1,10,10,9,0,2.310312,,,,
2019-10-10,1:42:23 PM,1,3,12,12,11,1,11,4,7,0,2.936613,,,,
2019-10-10,1:42:25 PM,1,3,12,12,12,1,12,1,1,1,1.769784,,,,
2019-10-10,1:42:30 PM,1,3,12,12,1,2,13,5,5,1,1.213075,,,,
2019-10-10,1:42:31 PM,1,3,12,12,2,2,14,8,8,1,1.086719,,,,
2019-10-10,1:42:33 PM,1,3,12,12,3,2,15,12,12,1,1.23205,,,,
2019-10-10,1:42:34 PM,1,3,12,12,4,2,16,7,7,1,0.7595662,,,,
2019-10-10,1:42:36 PM,1,3,12,12,5,2,17,9,9,1,1.071848,,,,
2019-10-10,1:42:38 PM,1,3,12,12,6,2,18,2,2,1,1.656182,,,,
2019-10-10,1:42:40 PM,1,3,12,12,7,2,19,11,11,1,0.884034,,,,
2019-10-10,1:42:42 PM,1,3,12,12,8,2,20,1,1,1,1.574847,,,,
2019-10-10,1:42:44 PM,1,3,Œ,12,9,2,21,10,10,1,1.163245,,,,
2019-10-10,1:42:45 PM,1,3,12,12,10,2,22,6,6,1,0.8285612,,,,
2019-10-10,1:42:47 PM,1,3,12,12,11,2,23,3,3,1,1.381124,,,,
2019-10-10,1:42:50 PM,1,3,12,12,12,2,24,4,4,1,1.988249,,,,
2019-10-10,1:42:56 PM,1,3,12,12,1,3,25,3,3,1,2.337287,,,,
2019-10-10,1:42:58 PM,1,3,12,12,2,3,26,2,2,1,1.584589,,,,
2019-10-10,1:43:00 PM,1,3,12,12,3,3,27,10,10,1,1.210607,,,,
2019-10-10,1:43:02 PM,1,3,12,12,4,3,28,7,7,1,1.259219,,,,
2019-10-10,1:43:04 PM,1,3,12,12,5,3,29,4,4,1,1.851687,,,,
2019-10-10,1:43:09 PM,1,3,12,12,6,3,30,6,6,1,3.387391,,,,
