date, time, id , flexibility, sensitivity, size, item, round, count, selection, target, success, timeTaken, 
2019-10-10,10:49:26 PM,2,1,12,8,1,1,1,6,5,0,0.7758033,
2019-10-10,10:49:28 PM,2,1,12,8,2,1,2,1,1,1,0.6478544,
2019-10-10,10:49:31 PM,2,1,12,8,3,1,3,2,2,1,0.6887767,
2019-10-10,10:49:34 PM,2,1,12,8,4,1,4,4,4,1,0.8371761,
2019-10-10,10:49:35 PM,2,1,12,8,5,1,5,2,3,0,0.6368999,
2019-10-10,10:49:39 PM,2,1,12,8,6,1,6,6,6,1,0.7548574,
2019-10-10,10:49:42 PM,2,1,12,8,7,1,7,8,8,1,0.7370973,
2019-10-10,10:49:44 PM,2,1,12,8,8,1,8,7,7,1,0.6431363,
2019-10-10,10:50:02 PM,2,1,12,8,1,2,9,2,2,1,0.9415345,
2019-10-10,10:50:06 PM,2,1,12,8,2,2,10,3,3,1,0.7559043,
2019-10-10,10:50:18 PM,2,1,12,8,3,2,11,8,8,1,1.500438,
2019-10-10,10:50:20 PM,2,1,12,8,4,2,12,3,4,0,1.081981,
2019-10-10,10:50:23 PM,2,1,12,8,5,2,13,1,1,1,0.7944918,
2019-10-10,10:50:25 PM,2,1,12,8,6,2,14,4,5,0,0.8471831,
2019-10-10,10:50:27 PM,2,1,12,8,7,2,15,6,6,1,0.9635,
2019-10-10,10:50:30 PM,2,1,12,8,8,2,16,7,7,1,1.197255,
2019-10-10,10:50:49 PM,2,1,12,8,1,3,17,3,3,1,0.7296469,
2019-10-10,10:50:51 PM,2,1,12,8,2,3,18,1,1,1,0.6122567,
2019-10-10,10:50:52 PM,2,1,12,8,3,3,19,8,8,1,0.7062,
2019-10-10,10:50:54 PM,2,1,12,8,4,3,20,6,7,0,0.7930073,
2019-10-10,10:50:56 PM,2,1,12,8,5,3,21,6,6,1,0.7234493,
2019-10-10,10:50:57 PM,2,1,12,8,6,3,22,5,5,1,0.7204582,
2019-10-10,10:50:59 PM,2,1,12,8,7,3,23,2,2,1,0.707965,
2019-10-10,10:51:00 PM,2,1,12,8,8,3,24,3,4,0,0.6578541,
2019-10-10,10:51:07 PM,2,1,12,8,1,4,25,4,4,1,0.7096049,
2019-10-10,10:51:09 PM,2,1,12,8,2,4,26,2,2,1,0.6971151,
2019-10-10,10:51:10 PM,2,1,12,8,3,4,27,8,8,1,0.6918885,
2019-10-10,10:51:11 PM,2,1,12,8,4,4,28,6,6,1,0.5952238,
2019-10-10,10:51:13 PM,2,1,12,8,5,4,29,2,1,0,0.5562626,
2019-10-10,10:51:14 PM,2,1,12,8,6,4,30,5,5,1,0.6318903,
2019-10-10,10:51:16 PM,2,1,12,8,7,4,31,7,7,1,0.6758026,
2019-10-10,10:51:17 PM,2,1,12,8,8,4,32,3,3,1,0.634616,
2019-10-10,10:51:21 PM,2,1,12,8,1,5,33,4,4,1,0.6110272,
2019-10-10,10:51:23 PM,2,1,12,8,2,5,34,7,7,1,0.6141234,
2019-10-10,10:51:24 PM,2,1,12,8,3,5,35,2,2,1,0.6052497,
2019-10-10,10:51:26 PM,2,1,12,8,4,5,36,6,6,1,0.595179,
2019-10-10,10:51:29 PM,2,1,12,8,5,5,37,1,1,1,0.6079848,
2019-10-10,10:51:30 PM,2,1,12,8,6,5,38,8,8,1,0.6195189,
2019-10-10,10:51:32 PM,2,1,12,8,7,5,39,5,5,1,0.6528556,
2019-10-10,10:51:33 PM,2,1,12,8,8,5,40,2,3,0,0.6636454,
2019-10-10,10:51:38 PM,2,1,12,8,1,6,41,2,2,1,0.6763436,
2019-10-10,10:51:39 PM,2,1,12,8,2,6,42,6,6,1,0.6344435,
