date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,8:15:58 PM,22, 4,12,8,1,1,5, 6, 0, 0.387511
2019-09-25,8:16:06 PM,22, 4,12,8,1,2,7, 2, 0, 0.3562616
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,8:16:53 PM,22, 4,12,8,1,1,6, 2, 0, 0.3767731
2019-09-25,8:16:58 PM,22, 4,12,8,1,2,7, 7, 1, 2.181765
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,8:17:41 PM,22, 4,12,8,1,1,3, 2, 0, 2.005726
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,8:18:11 PM,22, 4,12,12,1,1,3, 2, 0, 1.920166
2019-09-25,8:18:14 PM,22, 4,12,12,1,2,10, 10, 1, 0.8260233
2019-09-25,8:18:16 PM,22, 4,12,12,1,3,7, 6, 0, 0.6805331
2019-09-25,8:18:18 PM,22, 4,12,12,1,4,7, 7, 1, 0.8205264
2019-09-25,8:18:19 PM,22, 4,12,12,1,5,1, 1, 1, 1.1716
2019-09-25,8:18:21 PM,22, 4,12,12,1,6,5, 5, 1, 0.7331021
2019-09-25,8:18:22 PM,22, 4,12,12,1,7,12, 11, 0, 0.5914211
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,8:19:38 PM,22, 4,12,8,1,1,2, 2, 1, 2.749604
2019-09-25,8:19:41 PM,22, 4,12,8,1,2,6, 6, 1, 1.86693
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,8:20:02 PM,22, 4,12,4,1,1,3, 4, 0, 0.7576087
2019-09-25,8:20:05 PM,22, 4,12,4,1,2,3, 3, 1, 1.878502
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,8:20:40 PM,22, 4,12,8,1,1,6, 2, 0, 0.6119557
2019-09-25,8:20:50 PM,22, 4,12,8,1,2,5, 7, 0, 3.190051
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,8:21:28 PM,22, 4,12,12,1,1,7, 4, 0, 5.15578
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,8:22:04 PM,22, 4,12,8,1,1,7, 8, 0, 0.636582
2019-09-25,8:22:27 PM,22, 4,12,8,1,2,1, 6, 0, 3.917974
2019-09-25,8:22:29 PM,22, 4,12,8,1,3,4, 2, 0, 0.510945
2019-09-25,8:22:40 PM,22, 4,12,8,1,4,3, 7, 0, 1.198468
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,8:24:45 PM,22, 4,12,4,1,1,3, 1, 0, 3.748476
2019-09-25,8:24:49 PM,22, 4,12,4,1,2,1, 3, 0, 0.3139877
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,8:25:26 PM,22, 4,12,12,1,1,4, 6, 0, 5.087111
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,8:25:41 PM,22, 4,12,8,1,1,1, 1, 1, 1.672442
2019-09-25,8:26:03 PM,22, 4,12,8,1,2,5, 2, 0, 2.973047
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,8:26:19 PM,22, 4,12,8,1,1,4, 2, 0, 3.71634
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,8:26:36 PM,22, 4,12,12,1,1,7, 1, 0, 0.4408305
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,8:26:52 PM,22, 4,12,8,1,1,5, 5, 1, 0.6276618
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,8:27:15 PM,22, 4,12,8,1,1,6, 8, 0, 0.6363891
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,8:27:29 PM,22, 4,12,8,1,1,5, 3, 0, 0.454003
2019-09-25,8:27:33 PM,22, 4,12,8,1,2,5, 5, 1, 0.6096907
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,8:28:24 PM,22, 4,18,12,1,1,10, 4, 0, 0.6663548
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,8:35:25 PM,22, 4,12,4,1,1,4, 4, 1, 0.6683401
2019-09-25,8:35:26 PM,22, 4,12,4,1,2,3, 3, 1, 0.6322654
2019-09-25,8:35:27 PM,22, 4,12,4,1,3,2, 2, 1, 0.6742725
2019-09-25,8:35:28 PM,22, 4,12,4,1,4,1, 1, 1, 0.6196597
2019-09-25,8:35:29 PM,22, 4,12,4,1,4,0, 0, AVERAGE, 0.6486344
2019-09-25,8:35:32 PM,22, 4,12,4,2,5,3, 3, 1, 0.7323745
2019-09-25,8:35:33 PM,22, 4,12,4,2,6,2, 2, 1, 0.7038695
2019-09-25,8:35:34 PM,22, 4,12,4,2,7,1, 1, 1, 0.6235927
2019-09-25,8:35:35 PM,22, 4,12,4,2,8,4, 4, 1, 0.6129108
2019-09-25,8:35:35 PM,22, 4,12,4,2,8,0, 0, AVERAGE, 0.6681869
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,8:35:56 PM,22, 4,12,8,1,1,6, 1, 0, 0.3895599
2019-09-25,8:35:57 PM,22, 4,12,8,1,2,1, 2, 0, 0.5349578
2019-09-25,8:35:59 PM,22, 4,12,8,1,3,6, 6, 1, 1.151737
2019-09-25,8:36:01 PM,22, 4,12,8,1,4,5, 5, 1, 1.582013
2019-09-25,8:36:02 PM,22, 4,12,8,1,5,6, 3, 0, 0.3110451
2019-09-25,8:36:08 PM,22, 4,12,8,1,6,1, 7, 0, 0.1723034
2019-09-25,8:36:10 PM,22, 4,12,8,1,7,8, 8, 1, 0.3797393
2019-09-25,8:36:11 PM,22, 4,12,8,1,8,4, 4, 1, 0.7987717
2019-09-25,8:36:11 PM,22, 4,12,8,1,8,0, 0, AVERAGE, 0.6650159
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,8:36:25 PM,22, 4,12,4,1,1,2, 2, 1, 0.7614071
2019-09-25,8:36:26 PM,22, 4,12,4,1,2,3, 3, 1, 0.5836877
2019-09-25,8:36:27 PM,22, 4,12,4,1,3,4, 4, 1, 0.6505854
2019-09-25,8:36:28 PM,22, 4,12,4,1,4,1, 1, 1, 0.5963493
2019-09-25,8:36:28 PM,22, 4,12,4,1,4,0, 0, AVERAGE, 0.6480074
2019-09-25,8:36:40 PM,22, 4,12,4,2,5,1, 1, 1, 0.8887637
2019-09-25,8:36:45 PM,22, 4,12,4,2,6,3, 3, 1, 1.114988
2019-09-25,8:36:48 PM,22, 4,12,4,2,7,2, 2, 1, 2.076293
2019-09-25,8:36:49 PM,22, 4,12,4,2,8,4, 4, 1, 0.578169
2019-09-25,8:36:49 PM,22, 4,12,4,2,8,0, 0, AVERAGE, 1.164553
2019-09-25,8:36:52 PM,22, 4,12,4,3,9,3, 4, 0, 0.4990268
2019-09-25,8:36:59 PM,22, 4,12,4,3,10,3, 3, 1, 0.6927733
2019-09-25,8:37:00 PM,22, 4,12,4,3,11,2, 2, 1, 0.6893284
2019-09-25,8:37:04 PM,22, 4,12,4,3,11,0, 0, AVERAGE, 0.4702821
2019-09-25,8:37:06 PM,22, 4,12,4,3,12,1, 1, 1, 0.8544546
2019-09-25,8:37:10 PM,22, 4,12,4,4,13,3, 3, 1, 0.6680427
2019-09-25,8:37:11 PM,22, 4,12,4,4,14,1, 1, 1, 0.5117182
2019-09-25,8:37:12 PM,22, 4,12,4,4,15,4, 4, 1, 0.5952216
2019-09-25,8:37:13 PM,22, 4,12,4,4,16,2, 2, 1, 0.63467
2019-09-25,8:37:13 PM,22, 4,12,4,4,16,0, 0, AVERAGE, 0.8160267
2019-09-25,8:37:15 PM,22, 4,12,4,5,17,2, 2, 1, 0.7250306
2019-09-25,8:37:16 PM,22, 4,12,4,5,18,1, 1, 1, 0.6025078
2019-09-25,8:37:17 PM,22, 4,12,4,5,19,4, 4, 1, 0.648623
2019-09-25,8:37:18 PM,22, 4,12,4,5,20,3, 3, 1, 0.5736409
2019-09-25,8:37:18 PM,22, 4,12,4,5,20,0, 0, AVERAGE, 0.6374506
2019-09-25,8:37:22 PM,22, 4,12,4,6,21,2, 2, 1, 0.8752269
2019-09-25,8:37:23 PM,22, 4,12,4,6,22,3, 3, 1, 0.6672187
2019-09-25,8:37:24 PM,22, 4,12,4,6,23,1, 1, 1, 0.4951926
2019-09-25,8:37:25 PM,22, 4,12,4,6,24,4, 4, 1, 0.549448
2019-09-25,8:37:25 PM,22, 4,12,4,6,24,0, 0, AVERAGE, 0.6467716
2019-09-25,8:37:32 PM,22, 4,12,12,7,25,9, 9, 1, 1.243917
2019-09-25,8:37:33 PM,22, 4,12,12,7,26,8, 8, 1, 0.6549179
2019-09-25,8:37:34 PM,22, 4,12,12,7,27,6, 6, 1, 0.9286114
2019-09-25,8:37:37 PM,22, 4,12,12,7,28,1, 1, 1, 1.938936
2019-09-25,8:37:38 PM,22, 4,12,12,7,29,10, 10, 1, 1.122081
2019-09-25,8:37:40 PM,22, 4,12,12,7,30,2, 2, 1, 0.820984
2019-09-25,8:37:41 PM,22, 4,12,12,7,31,11, 11, 1, 0.7861858
2019-09-25,8:37:43 PM,22, 4,12,12,7,32,7, 7, 1, 1.029661
2019-09-25,8:37:44 PM,22, 4,12,12,7,33,4, 4, 1, 0.826915
2019-09-25,8:37:45 PM,22, 4,12,12,7,34,5, 5, 1, 0.7609839
2019-09-25,8:37:46 PM,22, 4,12,12,7,35,3, 3, 1, 0.6681876
2019-09-25,8:37:49 PM,22, 4,12,12,7,36,12, 12, 1, 2.062528
2019-09-25,8:37:49 PM,22, 4,12,12,7,36,0, 0, AVERAGE, 1.070326
